               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048636,            0.054767,             0.02544,             0.67018,             0.62226,             0.67755,             0.45192,            0.043596,             0.02905,            0.011421,              0.0946,              0.0006,              0.0006
                   1,            0.050419,             0.05824,            0.028764,             0.71245,             0.61999,             0.68944,             0.46591,            0.043176,            0.028903,            0.010693,            0.088257,           0.0012571,           0.0012571
                   2,            0.047686,            0.049602,            0.023136,             0.72576,             0.62842,             0.70627,             0.47653,            0.043102,            0.028891,            0.010183,            0.081868,            0.001868,            0.001868
                   3,            0.048758,             0.05445,            0.023764,             0.68856,             0.66467,             0.70685,             0.45057,            0.043875,            0.029216,           0.0098971,            0.075433,           0.0024327,           0.0024327
                   4,            0.046016,             0.04988,            0.019208,             0.72337,             0.63685,             0.71298,             0.45422,             0.04423,            0.029568,            0.009633,            0.068951,           0.0029512,           0.0029512
                   5,            0.048207,            0.056947,            0.021522,             0.77209,              0.6423,             0.72184,             0.46741,            0.043477,            0.029459,            0.009223,            0.062423,           0.0034235,           0.0034235
                   6,            0.048384,            0.063702,            0.018319,             0.78357,             0.63328,             0.71264,             0.44444,            0.044238,            0.029077,           0.0089113,             0.05585,           0.0038496,           0.0038496
                   7,            0.049189,            0.052986,            0.019114,             0.76074,              0.6478,              0.7357,             0.45608,            0.045052,            0.028822,           0.0088126,             0.04923,           0.0042295,           0.0042295
                   8,            0.049519,            0.054645,            0.018108,              0.7681,             0.64099,             0.71878,             0.43702,            0.046682,            0.028503,           0.0088851,            0.042563,           0.0045632,           0.0045632
                   9,            0.048254,            0.050706,            0.016375,             0.77901,             0.62975,             0.71386,             0.40677,             0.04953,            0.027711,           0.0086622,            0.035851,           0.0048507,           0.0048507
                  10,             0.04751,            0.048671,            0.015713,             0.75979,             0.64331,             0.71036,             0.42093,            0.048358,            0.027449,           0.0087227,            0.029092,            0.005092,            0.005092
                  11,            0.047894,            0.050514,            0.014567,              0.7584,             0.67994,             0.74191,             0.47497,            0.044066,            0.027295,           0.0086064,            0.022287,           0.0052871,           0.0052871
                  12,            0.047082,            0.051418,            0.015165,             0.69967,             0.64943,             0.70439,             0.43222,            0.048869,            0.027117,           0.0083686,            0.015436,            0.005436,            0.005436
                  13,            0.048165,            0.043437,            0.015828,             0.73779,             0.62758,             0.70554,              0.4292,            0.049221,            0.027167,           0.0083365,           0.0085387,           0.0055387,           0.0055387
                  14,            0.048951,            0.045198,            0.016279,              0.7231,             0.66874,             0.73834,             0.44849,            0.046809,            0.026971,           0.0083479,             0.00538,             0.00538,             0.00538
                  15,            0.047284,            0.042915,            0.016998,             0.74205,             0.67115,              0.7434,             0.48006,            0.044696,            0.027068,           0.0084849,             0.00538,             0.00538,             0.00538
                  16,            0.047397,            0.048917,            0.013638,             0.77792,             0.65979,             0.74172,             0.48268,            0.044971,            0.027129,           0.0087279,             0.00505,             0.00505,             0.00505
                  17,            0.047125,            0.048975,            0.013636,             0.74731,             0.66462,              0.7383,             0.46646,            0.045303,            0.027172,           0.0083194,             0.00472,             0.00472,             0.00472
                  18,            0.044541,            0.048157,            0.013556,              0.7524,             0.65783,             0.73496,             0.47544,            0.044502,            0.027258,           0.0083682,             0.00439,             0.00439,             0.00439
                  19,            0.046736,            0.051779,             0.01267,             0.78785,              0.6528,             0.74321,             0.48043,            0.043707,            0.027492,           0.0085018,             0.00406,             0.00406,             0.00406
                  20,            0.045449,            0.044637,            0.013786,             0.75358,             0.68836,             0.75466,             0.50611,            0.042628,            0.027409,           0.0086934,             0.00373,             0.00373,             0.00373
                  21,             0.04295,            0.044435,            0.015003,             0.77284,             0.69721,             0.76457,             0.49811,            0.043269,            0.027637,           0.0089017,              0.0034,              0.0034,              0.0034
                  22,            0.043415,            0.040719,            0.014193,             0.76506,              0.6886,             0.75638,             0.51414,            0.042494,             0.02706,           0.0086352,             0.00307,             0.00307,             0.00307
                  23,            0.039666,            0.038441,            0.012785,             0.80213,             0.68936,             0.77273,             0.52346,            0.041815,            0.026799,           0.0086187,             0.00274,             0.00274,             0.00274
                  24,             0.04437,            0.046801,             0.01373,              0.7958,             0.67387,             0.75783,             0.52125,            0.041722,            0.026925,           0.0086891,             0.00241,             0.00241,             0.00241
                  25,             0.04359,            0.045332,            0.012374,             0.80817,             0.67124,             0.75937,             0.52587,            0.041536,            0.026998,           0.0087559,             0.00208,             0.00208,             0.00208
                  26,            0.041403,            0.046716,            0.012181,             0.82035,             0.66894,             0.76276,             0.53345,            0.040974,            0.026937,           0.0087768,             0.00175,             0.00175,             0.00175
                  27,            0.042347,            0.043482,            0.012436,             0.79491,             0.67305,             0.76349,             0.53181,            0.040656,            0.026822,           0.0085638,             0.00142,             0.00142,             0.00142
                  28,            0.039042,            0.039342,            0.012572,             0.79417,              0.6682,             0.75818,             0.53122,            0.040563,            0.026803,           0.0085002,             0.00109,             0.00109,             0.00109
                  29,            0.040437,            0.042358,            0.011002,             0.80245,             0.66788,              0.7587,             0.52809,             0.04052,            0.026793,           0.0084541,             0.00076,             0.00076,             0.00076
